ID,pais,distrito,concelho
391,Portugal,Évora | Portugal,Portalegre
392,Portugal,Aveiro,"Castelo de Paiva | Portugal, Porto, Baião | Portugal, Porto, Felgueiras | Portugal, Porto, Gondomar | Portugal, Porto, Paços de Ferreira | Portugal, Porto, Penafiel | Portugal, Porto, Vila Nova de Gaia"
393,Portugal,Braganca,Vimioso
394,Portugal,Região Autónoma dos Açores,Povoação
395,Portugal,Leiria,"Pedrogão Grande | Portugal, Santarém, Mação | Portugal, Santarém, Sardoal | Portugal, Santarém, Vila Nova da Barquinha"
396,Portugal,Viseu,Armamar
397,Portugal,Aveiro,"Aveiro | Portugal, Aveiro, Oliveira do Bairro | Portugal, Aveiro, Vagos"
398,Portugal,Lisboa,"Lisboa | Portugal, Lisboa, Sintra"
399,Portugal,Aveiro,"São João da Madeira | Portugal, Porto, Felgueiras"
400,Portugal | Portugal,Aveiro,Santa Maria da Feira
401,Portugal,Aveiro,"Águeda | Portugal, Aveiro, Albergaria-a-Velha | Portugal, Aveiro, Castelo de Paiva"
402,Portugal,Beja,None
403,Portugal,Viseu,Castro Daire
404,Portugal,Castelo Branco,"Castelo Branco | Portugal, Coimbra, Coimbra | Portugal, Guarda, Guarda"
405,Portugal,Braga,"Amares | Portugal, Braga, Barcelos | Portugal, Braga, Braga | Portugal, Braga, Esposende | Portugal, Braga, Terras de Bouro | Portugal, Braga, Vila Verde"
406,Portugal,Vila Real,"Alijó | Portugal, Vila Real, Peso da Régua"
407,Portugal,Braga,"Esposende | Portugal, Braganca, Bragança | Portugal, Braganca, Torre de Moncorvo | Portugal, Guarda, Vila Nova de Foz Coa | Portugal, Porto, Santo Tirso | Portugal, Viana do Castelo, Caminha | Portugal, Viana do Castelo, Viana do Castelo | Portugal, Vila Real, Chaves | Portugal, Vila Real, Ribeira de Pena | Portugal, Vila Real, Vila Real | Portugal, Viseu, Lamego | Portugal, Viseu, Resende"
408,Portugal,Guarda,"Almeida | Portugal, Viseu, Nelas"
409,Portugal,Coimbra,"Penela | Portugal, Leiria, Ansião"
410,Portugal,Região Autónoma dos Açores,Santa Cruz da Graciosa
411,Portugal,Castelo Branco,"Belmonte | Portugal, Castelo Branco, Covilhã | Portugal, Castelo Branco, Fundão"
412,Portugal,Évora,Portel
413,Portugal,Leiria,"Marinha Grande | Portugal, Leiria, Peniche"
414,Portugal,Beja,"Odemira | Portugal, Setúbal, Alcácer do Sal | Portugal, Setúbal, Grandola | Portugal, Setúbal, Santiago do Cacém | Portugal, Setúbal, Sines"
415,Portugal,Braga,"Fafe | Portugal, Braga, Guimarães | Portugal, Braga, Póvoa de Lanhoso | Portugal, Braga, Vieira do Minho | Portugal, Porto, Santo Tirso | Portugal, Viana do Castelo, Arcos de Valdevez | Portugal, Viana do Castelo, Caminha | Portugal, Viana do Castelo, Melgaço | Portugal, Viana do Castelo, Monção | Portugal, Viana do Castelo, Paredes de Coura | Portugal, Viana do Castelo, Ponte da Barca | Portugal, Viana do Castelo, Ponte de Lima | Portugal, Viana do Castelo, Valença | Portugal, Viana do Castelo, Viana do Castelo | Portugal, Viana do Castelo, Vila Nova de Cerveira"
416,Portugal,Portugal Continental | Portugal,Região Autónoma da Madeira
417,Portugal,Lisboa,Lourinhã
418,Portugal,Braganca,Mogadouro
419,Portugal,Santarém,"Almeirim | Portugal, Santarém, Cartaxo | Portugal, Santarém, Coruche | Portugal, Santarém, Salvaterra de Magos"
420,Portugal,Braganca,"Alfandega da Fé | Portugal, Braganca, Bragança | Portugal, Guarda, Sabugal | Portugal, Guarda, Trancoso | Portugal, Vila Real, Alijó | Portugal, Vila Real, Chaves | Portugal, Vila Real, Murça | Portugal, Vila Real, Vila Pouca de Aguiar"
421,Portugal,Região Autónoma dos Açores,São Roque do Pico
422,Alemanha | Portugal,Castelo Branco,Idanha-a-Nova
423,Portugal,Lisboa,"Lisboa | Portugal, Portalegre"
424,Portugal,Região Autónoma dos Açores,"Angra do Heroismo | Portugal, Região Autónoma dos Açores, Praia da Vitória"
425,Portugal,Coimbra,"Coimbra | Portugal, Lisboa, Odivelas"
426,Portugal,Castelo Branco,Sertã
427,Portugal,Região Autónoma dos Açores,Calheta
428,Portugal,Castelo Branco,"Castelo Branco | Portugal, Castelo Branco, Covilhã | Portugal, Castelo Branco, Fundão | Portugal, Castelo Branco, Vila Velha de Ródão | Portugal, Santarém, Mação"
429,Portugal,Faro,"Lagoa | Portugal, Leiria, Nazaré"
430,Espanha | Portugal,Vila Real,Vila Real
431,Portugal | Portugal,Setúbal,Almada
432,Portugal,Viseu,Vila Nova de Paiva
433,Portugal | Portugal,Setúbal,Seixal
434,Portugal,Castelo Branco,Oleiros
435,Portugal,Coimbra,"Coimbra | Portugal, Coimbra, Oliveira do Hospital"
436,Portugal,Setúbal,"Alcochete | Portugal, Setúbal, Barreiro | Portugal, Setúbal, Moita | Portugal, Setúbal, Montijo | Portugal, Setúbal, Palmela | Portugal, Setúbal, Seixal | Portugal, Setúbal, Sesimbra | Portugal, Setúbal, Setúbal"
437,Portugal,Porto,"Marco de Canaveses | Portugal, Porto, Porto | Portugal, Viseu, Viseu"
438,Portugal,Évora,Mora
439,Portugal,Porto,"Maia | Portugal, Vila Real, Vila Real"
440,Portugal,Castelo Branco,"Covilhã | Portugal, Lisboa, Lisboa | Portugal, Porto, Porto"
441,Portugal,Lisboa,"Oeiras | Portugal, Lisboa, Sintra"
442,Portugal,Évora,Borba
443,Panamá,None,None
444,Portugal,Faro,"Lagos | Portugal, Faro, Vila do Bispo"
445,Portugal | Portugal,Porto,Porto
446,Portugal,Porto,"Porto | Portugal, Setúbal, Barreiro | Portugal, Setúbal, Seixal"
447,Portugal | Portugal,Coimbra,Lousã
448,Portugal,Viseu,Santa Comba Dão
449,Portugal,Braganca,"Freixo Espada a Cinta | Portugal, Braganca, Torre de Moncorvo | Portugal, Vila Real, Mesão Frio | Portugal, Vila Real, Murça | Portugal, Vila Real, Peso da Régua | Portugal, Vila Real, Sabrosa | Portugal, Vila Real, Sta Marta de Penaguião | Portugal, Vila Real, Vila Real"
450,Portugal,Viana do Castelo,"Arcos de Valdevez | Portugal, Viana do Castelo, Caminha | Portugal, Viana do Castelo, Paredes de Coura | Portugal, Viana do Castelo, Ponte de Lima | Portugal, Viana do Castelo, Valença | Portugal, Viana do Castelo, Viana do Castelo | Portugal, Viana do Castelo, Vila Nova de Cerveira"
451,Portugal,Coimbra,"Coimbra | Portugal, Faro, Albufeira | Portugal, Lisboa, Odivelas"
452,Portugal,Porto,"Matosinhos | Portugal, Porto, Porto"
453,Portugal,Évora,"Arraiolos | Portugal, Évora, Borba | Portugal, Évora, Évora | Portugal, Évora, Mora | Portugal, Évora, Vendas Novas | Portugal, Évora, Vila Viçosa"
454,Portugal,Porto,"Gondomar | Portugal, Porto, Paredes | Portugal, Porto, Valongo"
455,Alemanha,None,None
456,Portugal,Coimbra,"Coimbra | Portugal, Faro, Faro | Portugal, Lisboa, Lisboa | Portugal, Porto, Porto | Portugal, Porto, Vila Nova de Gaia"
457,Portugal,Braga,"Braga | Portugal, Porto, Porto"
458,Portugal,Faro,"Faro | Portugal, Faro, Lagos | Portugal, Faro, Portimão | Portugal, Faro, São Brás de Alportel"
459,Portugal,Leiria,None
460,Portugal,Portalegre,Castelo de Vide
461,Portugal | Portugal,Coimbra,Arganil
462,Portugal | Portugal,Évora,Évora
463,Portugal,Aveiro | Portugal,"Braganca | Portugal, Porto"
464,Portugal,Braga,"Barcelos | Portugal, Castelo Branco, Covilhã | Portugal, Lisboa, Lisboa | Portugal, Porto, Santo Tirso"
465,Portugal,Braga,"Barcelos | Portugal, Castelo Branco, Covilhã | Portugal, Porto, Porto | Portugal, Porto, Santo Tirso"
466,Portugal,Faro,"Olhão | Portugal, Porto, Matosinhos"
467,Portugal,Distrito não determinado,"Concelho não determinado | Portugal, Viseu, Resende"
468,Portugal,Coimbra | Portugal,"Distrito não determinado, Concelho não determinado"
469,Portugal,Évora,Reguengos de Monsaraz
470,Portugal,Lisboa,"Azambuja | Portugal, Porto, Paços de Ferreira"
471,Portugal,Aveiro,"Oliveira de Azemeis | Portugal, Aveiro, Santa Maria da Feira"
472,Portugal | Portugal,Leiria,Marinha Grande
473,Portugal,Coimbra,"Penela | Portugal, Guarda, Pinhel | Portugal, Leiria, Ansião | Portugal, Leiria, Pombal"
474,Indonésia,None,None
475,Portugal,Porto,"Amarante | Portugal, Porto, Baião"
476,Portugal,Évora,"Borba | Portugal, Portalegre, Ponte de Sor | Portugal, Santarém, Rio Maior | Portugal, Santarém, Santarém | Portugal, Setúbal, Setúbal"
477,Portugal,Beja,"Beja | Portugal, Évora, Évora"
478,Portugal,Évora,"Évora | Portugal, Lisboa, Oeiras | Portugal, Porto, Vila do Conde"
479,Portugal | Portugal,Porto,None
480,Espanha | Portugal,None,None
481,Portugal,Braga,"Amares | Portugal, Braga, Terras de Bouro"
482,Portugal,Viseu,"Lamego | Portugal, Viseu, Viseu"
483,Portugal,Viana do Castelo,"Melgaço | Portugal, Viana do Castelo, Monção | Portugal, Viana do Castelo, Paredes de Coura"
484,Portugal,Beja,"Odemira | Portugal, Setúbal, Santiago do Cacém"
485,Portugal | Portugal,Região Autónoma dos Açores,São Roque do Pico
486,Portugal,Leiria,Figueiró dos Vinhos
487,Portugal,Castelo Branco,"Belmonte | Portugal, Castelo Branco, Vila Velha de Ródão | Portugal, Guarda, Celorico da Beira | Portugal, Guarda, Guarda | Portugal, Guarda, Pinhel | Portugal, Guarda, Trancoso"
488,Portugal,Beja,Cuba
489,Portugal,Coimbra | Portugal,Leiria
490,Portugal,Aveiro,"Arouca | Portugal, Aveiro, Espinho | Portugal, Aveiro, Oliveira de Azemeis | Portugal, Aveiro, Santa Maria da Feira | Portugal, Aveiro, São João da Madeira | Portugal, Aveiro, Vale de Cambra | Portugal, Braga | Portugal, Braganca | Portugal, Guarda, Vila Nova de Foz Coa | Portugal, Porto | Portugal, Viana do Castelo | Portugal, Vila Real | Portugal, Viseu, Armamar | Portugal, Viseu, Cinfães | Portugal, Viseu, Moimenta da Beira | Portugal, Viseu, Penedono | Portugal, Viseu, Resende | Portugal, Viseu, São João da Pesqueira | Portugal, Viseu, Sernancelhe | Portugal, Viseu, Tabuaço | Portugal, Viseu, Tarouca"
491,Portugal,Braganca,"Miranda do Douro | Portugal, Braganca, Mirandela"
492,Portugal,Santarém,Alpiarça
493,Portugal,Beja | Portugal,"Évora | Portugal, Portalegre | Portugal, Santarém"
494,Portugal,Leiria,"Óbidos | Portugal, Lisboa, Lisboa"
495,Portugal,Leiria,"Nazaré | Portugal, Leiria, Peniche"
496,Portugal,Setúbal,"Santiago do Cacém | Portugal, Setúbal, Sines"
497,Portugal,Guarda,Gouveia
498,Portugal,Faro,"Castro Marim | Portugal, Faro, Portimão | Portugal, Faro, Silves | Portugal, Faro, Tavira"
499,Portugal,Porto,"Felgueiras | Portugal, Porto, Porto"
500,Portugal,Lisboa,"Cascais | Portugal, Lisboa, Oeiras"
501,Portugal,Lisboa,"Lisboa | Portugal, Setúbal, Almada"
502,Portugal,Aveiro,"Anadia | Portugal, Viseu, Nelas | Portugal, Viseu, Viseu"
503,Portugal,Braganca,"Bragança | Portugal, Braganca, Mirandela"
504,Portugal,Região Autónoma da Madeira,"Ribeira Brava | Portugal, Região Autónoma da Madeira, Santa Cruz"
505,Portugal,Braganca,"Alfandega da Fé | Portugal, Braganca, Bragança | Portugal, Braganca, Macedo de Cavaleiros | Portugal, Braganca, Torre de Moncorvo | Portugal, Braganca, Vila Flor | Portugal, Guarda, Vila Nova de Foz Coa | Portugal, Vila Real, Chaves | Portugal, Vila Real, Mesão Frio | Portugal, Vila Real, Sta Marta de Penaguião | Portugal, Vila Real, Vila Real | Portugal, Viseu, Resende"
506,Portugal,Leiria,"Alvaiázere | Portugal, Leiria, Figueiró dos Vinhos"
507,Portugal,Braganca,"Bragança | Portugal, Vila Real, Chaves"
508,Portugal,Aveiro,"Castelo de Paiva | Portugal, Porto, Paredes | Portugal, Porto, Penafiel | Portugal, Viseu, Cinfães"
509,Portugal,Santarém,Vila Nova da Barquinha
510,Portugal,Faro,"Silves | Portugal, Faro, Tavira"
511,Portugal,Faro,"Faro | Portugal, Faro, Portimão | Portugal, Setúbal, Sines"
512,Portugal,Aveiro,"Arouca | Portugal, Braga, Celorico de Basto | Portugal, Braga, Fafe | Portugal, Porto, Amarante | Portugal, Porto, Baião | Portugal, Porto, Santo Tirso | Portugal, Porto, Trofa | Portugal, Viseu, Cinfães"
513,Portugal,Beja,"Cuba | Portugal, Beja, Vidigueira"
514,Portugal,Faro,"Faro | Portugal, Lisboa | Portugal, Porto, Porto"
515,Portugal,Braganca,"Bragança | Portugal, Braganca, Macedo de Cavaleiros | Portugal, Braganca, Mirandela | Portugal, Braganca, Vila Flor"
516,Portugal,Aveiro,"Castelo de Paiva | Portugal, Porto, Penafiel"
517,Portugal,Aveiro,"Águeda | Portugal, Aveiro, Albergaria-a-Velha | Portugal, Aveiro, Aveiro | Portugal, Aveiro, Estarreja | Portugal, Aveiro, Ílhavo | Portugal, Aveiro, Murtosa | Portugal, Aveiro, Oliveira do Bairro | Portugal, Aveiro, Ovar | Portugal, Aveiro, Sever do Vouga | Portugal, Aveiro, Vagos"
518,Portugal | Portugal,Região Autónoma da Madeira,Calheta
519,Portugal,Lisboa,"Lisboa | Portugal, Lisboa, Oeiras"
520,Portugal,Aveiro,Murtosa
521,Portugal,Porto,"Porto | Portugal, Vila Real, Peso da Régua"
522,Portugal,Braga,"Esposende | Portugal, Braga, Guimarães | Portugal, Braga, Vila Verde | Portugal, Porto, Amarante | Portugal, Viana do Castelo, Melgaço"
523,Portugal,Lisboa,"Amadora | Portugal, Lisboa, Lisboa | Portugal, Lisboa, Odivelas | Portugal, Setúbal, Almada | Portugal, Setúbal, Seixal"
524,Portugal,Portalegre,Fronteira
525,Portugal,Região Autónoma da Madeira,"Câmara de Lobos | Portugal, Região Autónoma da Madeira, Funchal | Portugal, Região Autónoma da Madeira, Machico | Portugal, Região Autónoma da Madeira, Porto Santo | Portugal, Região Autónoma da Madeira, Ribeira Brava | Portugal, Região Autónoma da Madeira, Santa Cruz"
526,Portugal,Coimbra,"Góis | Portugal, Leiria, Castanheira de Pera"
527,Portugal,Faro,"Lagoa | Portugal, Faro, Silves"
528,Portugal,Faro,"Albufeira | Portugal, Faro, Lagoa | Portugal, Faro, Loulé | Portugal, Faro, São Brás de Alportel | Portugal, Faro, Silves"
529,Portugal,Lisboa,"Cascais | Portugal, Lisboa, Mafra | Portugal, Santarém, Chamusca"
530,Portugal,Lisboa,"Alenquer | Portugal, Lisboa, Lisboa"
531,Portugal,Vila Real,"Mesão Frio | Portugal, Vila Real, Sta Marta de Penaguião"
532,Portugal,Faro,"Lagos | Portugal, Faro, Portimão"
533,Portugal,Évora | Portugal,"Évora, Évora"
534,Portugal | Portugal,Aveiro,None
535,Portugal,Portalegre,Monforte
536,Portugal,Vila Real,"Chaves | Portugal, Vila Real, Ribeira de Pena"
537,Portugal,Lisboa | Quénia,None
538,Suiça,None,None
539,Itália,None,None
540,Portugal | Portugal,Distrito não determinado,Concelho não determinado
541,Portugal,Faro,"Faro | Portugal, Lisboa, Lisboa | Portugal, Porto, Matosinhos | Portugal, Região Autónoma da Madeira, Funchal | Portugal, Setúbal, Barreiro"
542,Portugal,Braga,"Braga | Portugal, Braga, Guimarães"
543,Portugal,Porto,"Lousada | Portugal, Porto, Penafiel"
544,Emiratos Árabes Unidos,None,None
545,Portugal | Portugal,Braga,Póvoa de Lanhoso
546,Portugal,Braganca,"Alfandega da Fé | Portugal, Braganca, Bragança | Portugal, Vila Real, Alijó | Portugal, Vila Real, Murça | Portugal, Vila Real, Valpaços"
547,Portugal,Porto,"Porto | Portugal, Porto, Vila do Conde"
548,Portugal,Beja,"Cuba | Portugal, Évora, Montemor-o-Novo | Portugal, Évora, Viana do Alentejo"
549,Espanha | Portugal,Beja,None
550,Portugal,Região Autónoma dos Açores,"Angra do Heroismo | Portugal, Região Autónoma dos Açores, Horta | Portugal, Região Autónoma dos Açores, Ponta Delgada"
551,Estados Unidos,None,None
552,Portugal,Guarda,"Aguiar da Beira | Portugal, Viseu, Sernancelhe"
553,Portugal,Porto,"Felgueiras | Portugal, Porto, Lousada | Portugal, Porto, Paços de Ferreira | Portugal, Porto, Paredes | Portugal, Porto, Valongo"
554,Portugal,Faro,"Tavira | Portugal, Faro, Vila Real Sto Antonio"
555,Portugal,Castelo Branco,"Castelo Branco | Portugal, Castelo Branco, Fundão"
556,Portugal,Portalegre,"Alter do Chão | Portugal, Portalegre, Castelo de Vide | Portugal, Portalegre, Crato | Portugal, Portalegre, Fronteira"
557,Portugal,Lisboa,"Lisboa | Portugal, Porto, Porto | Portugal, Setúbal, Barreiro"
558,Portugal,Faro,"Lagos | Portugal, Faro, Olhão | Portugal, Faro, Portimão | Portugal, Faro, Tavira | Portugal, Faro, Vila Real Sto Antonio"
559,Portugal,Faro,"Albufeira | Portugal, Faro, Loulé | Portugal, Faro, Olhão | Portugal, Faro, Portimão"
560,Portugal,Portugal Continental | Portugal,Região Autónoma dos Açores
561,Portugal,Setúbal,"Alcochete | Portugal, Setúbal, Barreiro | Portugal, Setúbal, Moita | Portugal, Setúbal, Montijo | Portugal, Setúbal, Palmela | Portugal, Setúbal, Seixal | Portugal, Setúbal, Sesimbra"
562,Portugal,Portalegre,"Elvas | Portugal, Portalegre, Portalegre"
563,Portugal,Aveiro,"Oliveira de Azemeis | Portugal, Leiria, Caldas da Rainha | Portugal, Leiria, Marinha Grande | Portugal, Leiria, Peniche | Portugal, Lisboa, Lisboa | Portugal, Lisboa, Torres Vedras | Portugal, Porto, Amarante | Portugal, Porto, Porto | Portugal, Porto, Trofa | Portugal, Porto, Valongo | Portugal, Santarém, Santarém | Portugal, Setúbal, Sines | Portugal, Viana do Castelo, Arcos de Valdevez"
564,Portugal,Coimbra,"Coimbra | Portugal, Faro, Loulé | Portugal, Lisboa, Lisboa | Portugal, Porto, Porto"
565,Espanha | Portugal,Lisboa,Vila Franca de Xira
566,Portugal,Faro,"Castro Marim | Portugal, Guarda, Almeida | Portugal, Viana do Castelo, Viana do Castelo | Portugal, Vila Real, Chaves"
567,Portugal | Portugal,Faro,Aljezur
568,Portugal,Viseu | Portugal,"Viseu, Tabuaço"
569,Portugal,Faro,"Loulé | Portugal, Faro, Olhão"
570,Bélgica | Espanha | Portugal,None,None
571,Portugal | Portugal,Aveiro,"Aveiro | Portugal, Castelo Branco, Castelo Branco | Portugal, Coimbra, Coimbra | Portugal, Guarda, Guarda | Portugal, Leiria, Leiria | Portugal, Viseu, Viseu"
572,Portugal,Aveiro,"Castelo de Paiva | Portugal, Porto, Baião | Portugal, Porto, Felgueiras | Portugal, Porto, Paços de Ferreira"
573,Portugal,Porto,"Porto | Portugal, Porto, Santo Tirso"
574,Portugal,Viana do Castelo,"Caminha | Portugal, Viana do Castelo, Vila Nova de Cerveira"
575,Portugal | Portugal,Braganca,Bragança
576,Bélgica | Portugal,Lisboa,None
577,Bélgica | Portugal,Porto,None
578,Portugal,Região Autónoma da Madeira,"Ponta do Sol | Portugal, Região Autónoma da Madeira, Porto Moniz | Portugal, Região Autónoma da Madeira, Ribeira Brava | Portugal, Região Autónoma da Madeira, São Vicente"
579,Portugal,Castelo Branco,"Covilhã | Portugal, Castelo Branco, Fundão | Portugal, Castelo Branco, Penamacor | Portugal, Guarda, Almeida | Portugal, Guarda, Fornos de Algodres | Portugal, Guarda, Gouveia | Portugal, Guarda, Guarda | Portugal, Guarda, Meda | Portugal, Guarda, Pinhel | Portugal, Guarda, Sabugal | Portugal, Guarda, Seia | Portugal, Guarda, Trancoso"
580,Portugal,Lisboa,"Lisboa | Portugal, Porto, Matosinhos | Portugal, Região Autónoma dos Açores, Ponta Delgada | Portugal, Setúbal, Almada | Portugal, Setúbal, Seixal"
581,Portugal,Lisboa,"Azambuja | Portugal, Santarém, Almeirim | Portugal, Santarém, Alpiarça | Portugal, Santarém, Benavente | Portugal, Santarém, Cartaxo | Portugal, Santarém, Chamusca | Portugal, Santarém, Coruche | Portugal, Santarém, Golegã | Portugal, Santarém, Rio Maior | Portugal, Santarém, Salvaterra de Magos | Portugal, Santarém, Santarém"
582,Portugal,Porto,"Baião | Portugal, Porto, Marco de Canaveses | Portugal, Vila Real, Mesão Frio | Portugal, Vila Real, Peso da Régua"
583,Portugal,Aveiro | Portugal,"Braga | Portugal, Coimbra | Portugal, Porto | Portugal, Viana do Castelo | Portugal, Viseu"
584,Portugal,Coimbra,"Condeixa-a-Nova | Portugal, Leiria, Caldas da Rainha | Portugal, Leiria, Peniche | Portugal, Lisboa, Lisboa | Portugal, Lisboa, Vila Franca de Xira | Portugal, Santarém, Golegã"
585,Portugal | Portugal,Região Autónoma dos Açores,None
586,Portugal | Portugal,Faro,Faro
587,Portugal,Porto,"Amarante | Portugal, Porto, Porto | Portugal, Porto, Trofa | Portugal, Porto, Valongo | Portugal, Viana do Castelo, Arcos de Valdevez"
588,Cabo Verde | Portugal,Santarém,Santarém
589,Hungria,None,None
590,Portugal,Lisboa,"Amadora | Portugal, Lisboa, Lisboa | Portugal, Lisboa, Sintra | Portugal, Lisboa, Torres Vedras"
591,Portugal,Coimbra,"Coimbra | Portugal, Coimbra, Condeixa-a-Nova | Portugal, Coimbra, Góis | Portugal, Coimbra, Tábua | Portugal, Coimbra, Vila Nova de Poiares | Portugal, Viseu, Mortágua"
592,Portugal,Leiria,"Leiria | Portugal, Lisboa, Lisboa | Portugal, Porto, Matosinhos"
593,Portugal,Coimbra,"Oliveira do Hospital | Portugal, Coimbra, Tábua | Portugal, Guarda, Seia"
594,Portugal,Coimbra,"Soure | Portugal, Lisboa, Alenquer"
595,Portugal | Portugal,Viseu,Mangualde
596,Portugal,Vila Real,"Vila Real | Portugal, Viseu, Sernancelhe"
597,Portugal,Beja,"Beja | Portugal, Lisboa, Lisboa | Portugal, Porto, Porto | Portugal, Setúbal, Barreiro | Portugal, Setúbal, Seixal"
598,Portugal,Santarém,"Entroncamento | Portugal, Santarém, Tomar"
599,Portugal,Faro,"Albufeira | Portugal, Faro, Faro | Portugal, Faro, Lagos | Portugal, Faro, Loulé | Portugal, Faro, Portimão | Portugal, Faro, Vila Real Sto Antonio"
600,Portugal,Braga,"Guimarães | Portugal, Viana do Castelo, Arcos de Valdevez | Portugal, Viseu, Moimenta da Beira"
601,Portugal,Lisboa,"Lisboa | Portugal, Lisboa, Loures | Portugal, Lisboa, Torres Vedras"
602,Portugal,Faro | Portugal,Lisboa
603,Portugal,Leiria,"Alcobaça | Portugal, Lisboa, Lisboa | Portugal, Lisboa, Oeiras | Portugal, Lisboa, Torres Vedras | Portugal, Portalegre, Elvas | Portugal, Porto, Vila do Conde | Portugal, Santarém, Santarém"
604,Portugal,Leiria,"Leiria | Portugal, Santarém, Ourém"
605,Portugal,Évora,"Évora | Portugal, Porto"
606,Portugal,Castelo Branco,"Castelo Branco | Portugal, Castelo Branco, Covilhã"
607,Portugal,Lisboa,"Alenquer | Portugal, Lisboa, Lisboa | Portugal, Porto, Porto"
608,Portugal,Aveiro,"Oliveira de Azemeis | Portugal, Aveiro, Santa Maria da Feira | Portugal, Aveiro, São João da Madeira"
609,Portugal,Vila Real,"Peso da Régua | Portugal, Vila Real, Vila Real"
610,Portugal,Faro,"Olhão | Portugal, Faro, Vila Real Sto Antonio"
